district	fips	year	party	score	std_shock_end_1	std_shock_end_2	std_shock_end_3	std_shock_end_4	std_shock_end_5	std_shock_end_10	std_shock_exo_1	std_shock_exo_2	std_shock_exo_3	std_shock_exo_4	std_shock_exo_5	std_shock_exo_10	district1	state
"CA20"	6001.0	2003.0	"D"	70.0	0.2742882	0.3050713	-0.0052188416	-0.100459866	-0.12397868	-0.055985138	1.0284387	0.5475726	0.057119302	0.3027597	0.35433134	0.5931132	12	"CA"
"CA16"	6001.0	2003.0	"D"	100.0	0.2742882	0.3050713	-0.0052188416	-0.100459866	-0.12397868	-0.055985138	1.0284387	0.5475726	0.057119302	0.3027597	0.35433134	0.5931132	7	"CA"
"CA18"	6001.0	2003.0	"D"	100.0	0.2742882	0.3050713	-0.0052188416	-0.100459866	-0.12397868	-0.055985138	1.0284387	0.5475726	0.057119302	0.3027597	0.35433134	0.5931132	9	"CA"
"CA16"	6001.0	2004.0	"D"	100.0	0.9549314	0.78686696	0.6860373	0.38902506	0.1511011	-0.1655723	1.5387017	1.6506362	1.1859177	0.55912167	0.7802958	0.6022997	7	"CA"
"CA20"	6001.0	2004.0	"D"	45.0	0.9549314	0.78686696	0.6860373	0.38902506	0.1511011	-0.1655723	1.5387017	1.6506362	1.1859177	0.55912167	0.7802958	0.6022997	12	"CA"
"CA18"	6001.0	2004.0	"D"	82.0	0.9549314	0.78686696	0.6860373	0.38902506	0.1511011	-0.1655723	1.5387017	1.6506362	1.1859177	0.55912167	0.7802958	0.6022997	9	"CA"
"CA20"	6001.0	2005.0	"D"	50.0	0.15587541	0.6692487	0.627655	0.79078275	0.56344444	0.2528683	0.5870585	1.272219	1.5680292	1.2477866	0.7014145	0.34759775	12	"CA"
"CA18"	6001.0	2005.0	"D"	100.0	0.15587541	0.6692487	0.627655	0.79078275	0.56344444	0.2528683	0.5870585	1.272219	1.5680292	1.2477866	0.7014145	0.34759775	9	"CA"
"CA16"	6001.0	2005.0	"D"	100.0	0.15587541	0.6692487	0.627655	0.79078275	0.56344444	0.2528683	0.5870585	1.272219	1.5680292	1.2477866	0.7014145	0.34759775	7	"CA"
"CA18"	6001.0	2006.0	"D"	91.0	0.2386319	0.21091269	0.57050633	0.5920996	0.7058525	0.75912154	0.18975514	0.49619403	1.0986832	1.503487	1.2426258	0.49050975	9	"CA"
"CA20"	6001.0	2006.0	"D"	45.0	0.2386319	0.21091269	0.57050633	0.5920996	0.7058525	0.75912154	0.18975514	0.49619403	1.0986832	1.503487	1.2426258	0.49050975	12	"CA"
"CA16"	6001.0	2006.0	"D"	100.0	0.2386319	0.21091269	0.57050633	0.5920996	0.7058525	0.75912154	0.18975514	0.49619403	1.0986832	1.503487	1.2426258	0.49050975	7	"CA"
"CA18"	6001.0	2007.0	"D"	100.0	-0.17639492	-0.029351063	-0.030055052	0.30743542	0.3830891	-0.11141983	0.27913526	0.23597656	0.48093244	1.0490679	1.444632	0.48148668	9	"CA"
"CA16"	6001.0	2007.0	"D"	100.0	-0.17639492	-0.029351063	-0.030055052	0.30743542	0.3830891	-0.11141983	0.27913526	0.23597656	0.48093244	1.0490679	1.444632	0.48148668	7	"CA"
"CA20"	6001.0	2007.0	"D"	100.0	-0.17639492	-0.029351063	-0.030055052	0.30743542	0.3830891	-0.11141983	0.27913526	0.23597656	0.48093244	1.0490679	1.444632	0.48148668	12	"CA"
"CA16"	6001.0	2008.0	"D"	100.0	-0.27202842	-0.29410955	-0.17764214	-0.16078804	0.14102021	-0.14127557	-0.13532072	0.0154113695	0.02645541	0.2334845	0.6959459	0.95610434	7	"CA"
"CA20"	6001.0	2008.0	"D"	90.0	-0.27202842	-0.29410955	-0.17764214	-0.16078804	0.14102021	-0.14127557	-0.13532072	0.0154113695	0.02645541	0.2334845	0.6959459	0.95610434	12	"CA"
"CA18"	6001.0	2008.0	"D"	100.0	-0.27202842	-0.29410955	-0.17764214	-0.16078804	0.14102021	-0.14127557	-0.13532072	0.0154113695	0.02645541	0.2334845	0.6959459	0.95610434	9	"CA"
"CA18"	6001.0	2009.0	"D"	80.0	-1.1994036	-0.7937103	-0.6011011	-0.504669	-0.4461371	-0.2003984	-1.3449247	-0.91003966	-0.6846745	-0.55142754	-0.3343182	0.030015925	9	"CA"
"CA20"	6001.0	2009.0	"D"	60.0	-1.1994036	-0.7937103	-0.6011011	-0.504669	-0.4461371	-0.2003984	-1.3449247	-0.91003966	-0.6846745	-0.55142754	-0.3343182	0.030015925	12	"CA"
"CA16"	6001.0	2009.0	"D"	80.0	-1.1994036	-0.7937103	-0.6011011	-0.504669	-0.4461371	-0.2003984	-1.3449247	-0.91003966	-0.6846745	-0.55142754	-0.3343182	0.030015925	7	"CA"
